fragment_index,attention_weight,selected,contig_index,start,end
82,0.0,False,0,820000,831000
83,0.0,False,0,830000,841000
84,0.0,False,0,840000,851000
85,0.0,False,0,850000,861000
86,0.0,False,0,860000,871000
87,0.0,False,0,870000,881000
88,4.51215594385743e-36,False,0,880000,891000
89,0.0,False,0,890000,901000
90,0.5,True,0,900000,911000
91,0.0,False,0,910000,921000
92,0.0,False,0,920000,931000
93,0.0,False,0,930000,941000
94,0.0,False,0,940000,951000
95,0.0,False,0,950000,961000
96,0.0,False,0,960000,971000
97,0.0,False,0,970000,981000
98,0.0,False,0,980000,991000
99,0.0,False,0,990000,1001000
100,0.0,False,0,1000000,1011000
101,0.0,False,0,1010000,1021000
102,5.072700440855838e-43,False,0,1020000,1031000
103,0.0,False,0,1030000,1041000
104,0.0,False,0,1040000,1051000
105,0.0,False,0,1050000,1061000
106,0.0,False,0,1060000,1071000
107,0.0,False,0,1070000,1081000
108,0.0,False,0,1080000,1091000
109,0.0,False,0,1090000,1101000
110,0.0,False,0,1100000,1111000
111,0.0,False,0,1110000,1121000
112,0.0,False,0,1120000,1131000
113,0.0,False,0,1130000,1141000
114,0.0,False,0,1140000,1151000
115,0.0,False,0,1150000,1161000
116,0.0,False,0,1160000,1171000
117,1.3450463335537496e-32,False,0,1170000,1181000
118,0.0,False,0,1180000,1191000
119,0.0,False,0,1190000,1201000
120,0.0,False,0,1200000,1211000
121,0.0,False,0,1210000,1221000
122,0.0,False,0,1220000,1231000
123,0.0,False,0,1230000,1241000
124,0.0,False,0,1240000,1251000
125,0.0,False,0,1250000,1261000
126,1.513650371298988e-39,False,0,1260000,1271000
127,0.0,False,0,1270000,1281000
128,0.0,False,0,1280000,1291000
129,0.0,False,0,1290000,1301000
130,0.0,False,0,1300000,1311000
131,0.0,False,0,1310000,1321000
132,0.0,False,0,1320000,1331000
133,0.0,False,0,1330000,1341000
134,0.0,False,0,1340000,1351000
135,0.0,False,0,1350000,1361000
136,0.0,False,0,1360000,1371000
137,0.0,False,0,1370000,1381000
138,0.0,False,0,1380000,1391000
139,0.0,False,0,1390000,1401000
140,0.0,False,0,1400000,1411000
141,0.0,False,0,1410000,1421000
142,0.0,False,0,1420000,1431000
143,0.0,False,0,1430000,1441000
144,0.0,False,0,1440000,1451000
145,0.0,False,0,1450000,1461000
146,0.0,False,0,1460000,1471000
147,0.0,False,0,1470000,1481000
148,0.0,False,0,1480000,1491000
149,0.0,False,0,1490000,1501000
150,0.0,False,0,1500000,1511000
151,0.0,False,0,1510000,1521000
152,0.0,False,0,1520000,1531000
153,0.0,False,0,1530000,1541000
154,0.0,False,0,1540000,1551000
155,0.0,False,0,1550000,1561000
156,0.24999994039535522,True,0,1560000,1571000
157,0.0,False,0,1570000,1581000
158,0.0,False,0,1580000,1591000
159,0.0,False,0,1590000,1601000
160,0.0,False,0,1600000,1611000
161,0.0,False,0,1610000,1621000
162,0.0,False,0,1620000,1631000
163,0.0,False,0,1630000,1641000
164,0.0,False,0,1640000,1651000
165,0.0,False,0,1650000,1661000
166,0.0,False,0,1660000,1671000
167,0.0,False,0,1670000,1681000
168,0.0,False,0,1680000,1691000
169,0.0,False,0,1690000,1701000
170,0.0,False,0,1700000,1711000
171,0.0,False,0,1710000,1721000
172,0.0,False,0,1720000,1731000
173,0.0,False,0,1730000,1741000
174,1.513650371298988e-39,False,0,1740000,1751000
175,0.0,False,0,1750000,1761000
176,0.0,False,0,1760000,1771000
177,0.0,False,0,1770000,1781000
178,0.0,False,0,1780000,1791000
179,0.0,False,0,1790000,1801000
180,0.0,False,0,1800000,1811000
181,0.0,False,0,1810000,1821000
182,0.0,False,0,1820000,1831000
183,0.0,False,0,1830000,1841000
184,0.0,False,0,1840000,1851000
185,0.0,False,0,1850000,1861000
186,0.0,False,0,1860000,1871000
187,0.0,False,0,1870000,1881000
188,0.0,False,0,1880000,1891000
189,0.0,False,0,1890000,1901000
190,0.0,False,0,1900000,1911000
191,0.0,False,0,1910000,1921000
192,0.0,False,0,1920000,1931000
193,0.0,False,0,1930000,1941000
194,0.0,False,0,1940000,1951000
195,0.0,False,0,1950000,1961000
196,5.072700440855838e-43,False,0,1960000,1971000
197,0.0,False,0,1970000,1981000
198,0.0,False,0,1980000,1991000
199,0.0,False,0,1990000,2001000
200,1.513650371298988e-39,False,0,2000000,2011000
201,0.0,False,0,2010000,2021000
202,5.072700440855838e-43,False,0,2020000,2031000
203,0.0,False,0,2030000,2041000
204,0.0,False,0,2040000,2051000
205,0.0,False,0,2050000,2061000
206,0.0,False,0,2060000,2071000
207,0.0,False,0,2070000,2081000
208,0.0,False,0,2080000,2091000
209,0.0,False,0,2090000,2101000
210,0.0,False,0,2100000,2111000
211,0.0,False,0,2110000,2121000
212,0.0,False,0,2120000,2131000
213,0.0,False,0,2130000,2141000
214,0.0,False,0,2140000,2151000
215,0.0,False,0,2150000,2161000
216,0.0,False,0,2160000,2171000
217,0.0,False,0,2170000,2181000
218,0.0,False,0,2180000,2191000
219,0.0,False,0,2190000,2201000
220,0.0,False,0,2200000,2211000
221,0.0,False,0,2210000,2221000
222,0.0,False,0,2220000,2231000
223,0.0,False,0,2230000,2241000
224,0.0,False,0,2240000,2251000
225,0.0,False,0,2250000,2261000
226,0.0,False,0,2260000,2271000
227,0.0,False,0,2270000,2281000
228,0.0,False,0,2280000,2291000
229,0.0,False,0,2290000,2301000
230,0.0,False,0,2300000,2311000
231,0.0,False,0,2310000,2321000
232,0.0,False,0,2320000,2331000
233,0.0,False,0,2330000,2341000
234,0.0,False,0,2340000,2351000
235,1.513650371298988e-39,False,0,2350000,2361000
236,0.0,False,0,2360000,2371000
237,0.0,False,0,2370000,2381000
238,0.0,False,0,2380000,2391000
239,0.0,False,0,2390000,2401000
240,0.0,False,0,2400000,2411000
241,0.0,False,0,2410000,2421000
242,0.0,False,0,2420000,2431000
243,2.813378685573298e-08,False,0,2430000,2441000
244,1.195223002282502e-25,False,0,2440000,2451000
245,1.513650371298988e-39,False,0,2450000,2461000
246,0.0,False,0,2460000,2471000
247,0.0,False,0,2470000,2481000
248,2.772328881820218e-41,False,0,2480000,2491000
249,0.0,False,0,2490000,2501000
250,0.0,False,0,2500000,2511000
251,0.0,False,0,2510000,2521000
252,0.0,False,0,2520000,2531000
253,0.0,False,0,2530000,2541000
254,0.0,False,0,2540000,2551000
255,0.0,False,0,2550000,2561000
256,0.0,False,0,2560000,2571000
257,0.0,False,0,2570000,2581000
258,0.0,False,0,2580000,2591000
259,0.0,False,0,2590000,2601000
260,0.0,False,0,2600000,2611000
261,0.0,False,0,2610000,2621000
262,0.0,False,0,2620000,2631000
263,0.0,False,0,2630000,2641000
264,0.0,False,0,2640000,2651000
265,0.0,False,0,2650000,2661000
266,0.0,False,0,2660000,2671000
267,0.0,False,0,2670000,2681000
268,0.0,False,0,2680000,2691000
269,0.0,False,0,2690000,2701000
270,0.0,False,0,2700000,2711000
271,0.0,False,0,2710000,2721000
272,0.0,False,0,2720000,2731000
273,0.0,False,0,2730000,2741000
274,0.0,False,0,2740000,2751000
275,0.0,False,0,2750000,2761000
276,0.0,False,0,2760000,2771000
277,0.0,False,0,2770000,2781000
278,0.0,False,0,2780000,2791000
279,0.0,False,0,2790000,2801000
280,0.0,False,0,2800000,2811000
281,0.0,False,0,2810000,2821000
282,0.0,False,0,2820000,2831000
283,0.0,False,0,2830000,2841000
284,0.0,False,0,2840000,2851000
285,0.0,False,0,2850000,2861000
286,0.0,False,0,2860000,2871000
287,0.0,False,0,2870000,2881000
288,2.18912772318019e-27,False,0,2880000,2891000
289,5.798807409237641e-17,False,0,2890000,2901000
290,1.1952232488015348e-25,False,0,2900000,2911000
291,0.0,False,0,2910000,2921000
292,0.0,False,0,2920000,2931000
293,0.0,False,0,2930000,2941000
294,0.0,False,0,2940000,2951000
295,5.072700440855838e-43,False,0,2950000,2961000
296,0.0,False,0,2960000,2971000
297,0.0,False,0,2970000,2981000
298,0.0,False,0,2980000,2991000
299,0.0,False,0,2990000,3001000
300,0.0,False,0,3000000,3011000
301,0.0,False,0,3010000,3021000
302,0.25,True,0,3020000,3031000
303,0.0,False,0,3030000,3041000
304,0.0,False,0,3040000,3051000
305,0.0,False,0,3050000,3061000
306,0.0,False,0,3060000,3071000
307,0.0,False,0,3070000,3081000
308,0.0,False,0,3080000,3091000
309,0.0,False,0,3090000,3101000
310,0.0,False,0,3100000,3111000
311,1.062088532784665e-18,False,0,3110000,3121000
312,0.0,False,0,3120000,3131000
313,0.0,False,0,3130000,3141000
314,0.0,False,0,3140000,3151000
315,0.0,False,0,3150000,3161000
316,0.0,False,0,3160000,3171000
317,0.0,False,0,3170000,3181000
318,0.0,False,0,3180000,3191000
319,0.0,False,0,3190000,3201000
320,0.0,False,0,3200000,3211000
321,0.0,False,0,3210000,3221000
322,0.0,False,0,3220000,3231000
323,0.0,False,0,3230000,3241000
324,0.0,False,0,3240000,3251000
325,0.0,False,0,3250000,3261000
326,0.0,False,0,3260000,3271000
327,0.0,False,0,3270000,3281000
328,0.0,False,0,3280000,3291000
329,0.0,False,0,3290000,3301000
330,0.0,False,0,3300000,3311000
331,0.0,False,0,3310000,3321000
332,0.0,False,0,3320000,3331000
333,0.0,False,0,3330000,3341000
334,0.0,False,0,3340000,3351000
335,0.0,False,0,3350000,3361000
336,0.0,False,0,3360000,3371000
337,0.0,False,0,3370000,3381000
338,0.0,False,0,3380000,3391000
339,0.0,False,0,3390000,3401000
340,0.0,False,0,3400000,3411000
341,0.0,False,0,3410000,3421000
342,0.0,False,0,3420000,3431000
343,0.0,False,0,3430000,3441000
344,0.0,False,0,3440000,3451000
345,0.0,False,0,3450000,3461000
346,0.0,False,0,3460000,3471000
347,0.0,False,0,3470000,3481000
348,0.0,False,0,3480000,3491000
349,0.0,False,0,3490000,3501000
350,2.4635386123159627e-34,False,0,3500000,3511000
351,0.0,False,0,3510000,3521000
352,0.0,False,0,3520000,3531000
353,3.5629095897456596e-22,False,0,3530000,3541000
354,0.0,False,0,3540000,3551000
355,0.0,False,0,3550000,3561000
356,0.0,False,0,3560000,3571000
357,0.0,False,0,3570000,3581000
358,0.0,False,0,3580000,3591000
359,0.0,False,0,3590000,3601000
360,0.0,False,0,3600000,3611000
361,0.0,False,0,3610000,3621000
362,0.0,False,0,3620000,3631000
363,0.0,False,0,3630000,3641000
364,0.0,False,0,3640000,3651000
365,0.0,False,0,3650000,3661000
366,0.0,False,0,3660000,3671000
367,0.0,False,0,3670000,3681000
368,0.0,False,0,3680000,3691000
369,0.0,False,0,3690000,3701000
370,0.0,False,0,3700000,3711000
371,0.0,False,0,3710000,3721000
372,0.0,False,0,3720000,3731000
373,0.0,False,0,3730000,3741000
374,0.0,False,0,3740000,3751000
375,0.0,False,0,3750000,3761000
376,0.0,False,0,3760000,3771000
377,0.0,False,0,3770000,3781000
378,0.0,False,0,3780000,3791000
379,2.4635386123159627e-34,False,0,3790000,3801000
380,4.5121286801945084e-36,False,0,3800000,3811000
381,0.0,False,0,3810000,3821000
382,0.0,False,0,3820000,3831000
383,0.0,False,0,3830000,3841000
384,0.0,False,0,3840000,3851000
385,0.0,False,0,3850000,3861000
386,0.0,False,0,3860000,3871000
387,0.0,False,0,3870000,3881000
388,0.0,False,0,3880000,3891000
389,0.0,False,0,3890000,3901000
390,0.0,False,0,3900000,3911000
391,0.0,False,0,3910000,3921000
392,0.0,False,0,3920000,3931000
393,0.0,False,0,3930000,3941000
394,0.0,False,0,3940000,3951000
395,0.0,False,0,3950000,3961000
396,0.0,False,0,3960000,3971000
397,0.0,False,0,3970000,3981000
398,0.0,False,0,3980000,3991000
399,0.0,False,0,3990000,4001000
400,0.0,False,0,4000000,4011000
401,0.0,False,0,4010000,4021000
402,0.0,False,0,4020000,4031000
403,0.0,False,0,4030000,4041000
404,0.0,False,0,4040000,4051000
405,0.0,False,0,4050000,4061000
406,0.0,False,0,4060000,4071000
407,0.0,False,0,4070000,4081000
408,0.0,False,0,4080000,4091000
409,0.0,False,0,4090000,4101000
410,0.0,False,0,4100000,4111000
411,0.0,False,0,4110000,4121000
412,0.0,False,0,4120000,4131000
413,0.0,False,0,4130000,4141000
414,0.0,False,0,4140000,4151000
415,0.0,False,0,4150000,4161000
416,0.0,False,0,4160000,4171000
417,0.0,False,0,4170000,4181000
418,0.0,False,0,4180000,4191000
419,0.0,False,0,4190000,4201000
420,2.772328881820218e-41,False,0,4200000,4211000
421,1.513650371298988e-39,False,0,4210000,4221000
422,0.0,False,0,4220000,4231000
423,0.0,False,0,4230000,4241000
424,0.0,False,0,4240000,4251000
425,0.0,False,0,4250000,4261000
426,0.0,False,0,4260000,4271000
427,0.0,False,0,4270000,4281000
428,0.0,False,0,4280000,4291000
429,0.0,False,0,4290000,4301000
430,9.80908925027372e-45,False,0,4300000,4311000
431,0.0,False,0,4310000,4321000
432,0.0,False,0,4320000,4331000
433,0.0,False,0,4330000,4341000
434,0.0,False,0,4340000,4351000
435,0.0,False,0,4350000,4361000
436,0.0,False,0,4360000,4371000
437,0.0,False,0,4370000,4381000
438,0.0,False,0,4380000,4391000
439,2.18912772318019e-27,False,0,4390000,4401000
440,2.18912772318019e-27,False,0,4400000,4411000
441,0.0,False,0,4410000,4421000
442,2.4635386123159627e-34,False,0,4420000,4431000
443,0.0,False,0,4430000,4441000
444,0.0,False,0,4440000,4451000
445,0.0,False,0,4450000,4461000
446,0.0,False,0,4460000,4471000
447,0.0,False,0,4470000,4481000
448,0.0,False,0,4480000,4491000
449,0.0,False,0,4490000,4501000
450,0.0,False,0,4500000,4511000
451,0.0,False,0,4510000,4521000
452,0.0,False,0,4520000,4531000
453,0.0,False,0,4530000,4541000
454,0.0,False,0,4540000,4551000
455,0.0,False,0,4550000,4561000
456,0.0,False,0,4560000,4571000
457,0.0,False,0,4570000,4581000
458,0.0,False,0,4580000,4591000
459,0.0,False,0,4590000,4601000
460,0.0,False,0,4600000,4611000
461,0.0,False,0,4610000,4621000
462,0.0,False,0,4620000,4631000
463,0.0,False,0,4630000,4641000
464,0.0,False,0,4640000,4651000
465,0.0,False,0,4650000,4661000
466,0.0,False,0,4660000,4671000
467,0.0,False,0,4670000,4681000
468,0.0,False,0,4680000,4691000
469,0.0,False,0,4690000,4701000
470,0.0,False,0,4700000,4711000
471,0.0,False,0,4710000,4721000
472,0.0,False,0,4720000,4731000
473,0.0,False,0,4730000,4741000
474,0.0,False,0,4740000,4751000
475,0.0,False,0,4750000,4761000
476,0.0,False,0,4760000,4771000
477,0.0,False,0,4770000,4781000
478,0.0,False,0,4780000,4791000
479,0.0,False,0,4790000,4801000
480,0.0,False,0,4800000,4811000
481,0.0,False,0,4810000,4821000
482,0.0,False,0,4820000,4831000
483,0.0,False,0,4830000,4841000
484,0.0,False,0,4840000,4851000
485,0.0,False,0,4850000,4861000
486,0.0,False,0,4860000,4871000
487,0.0,False,0,4870000,4881000
488,0.0,False,0,4880000,4891000
489,0.0,False,0,4890000,4901000
490,0.0,False,0,4900000,4911000
491,0.0,False,0,4910000,4921000
492,0.0,False,0,4920000,4931000
493,0.0,False,0,4930000,4941000
494,0.0,False,0,4940000,4951000
495,0.0,False,0,4950000,4961000
496,0.0,False,0,4960000,4971000
497,0.0,False,0,4970000,4981000
498,0.0,False,0,4980000,4991000
499,0.0,False,0,4990000,4995458
